3,50,1,50,20,3,500,22.9,9.0,0,18.5,0.01,1,646
1,10,1,10,1,1,400,17.7,16.5,1,56.6,0.05,2,785
2,50,1,50,1,1,200,13.3,7.3,1,56.6,0.05,2,785
3,10,1,10,20,1,45,15.7,5.3,1,17.4,0.06,3,958
1,10,1,10,1,1,400,17.0,9.6,0,17.4,0.12,3,958
2,200,1,2,20,3,53.33,19.3,9.4,0,17.4,0.05,3,958
2,10,1,10,50,1,16,27.9,22.4,1,63.0,0.16,5,879
1,10,1,10,1,1,400,29.0,34.5,1,63.0,0.26,5,940
3,200,2,3,50,1,216,24.9,53.9,1,63.0,0.38,5,961
1,50,1,50,50,1,200,27.3,30.8,0,63.0,0.31,5,1042
2,50,1,50,50,1,400,24.0,36.8,0,63.0,0.40,5,1003
1,10,1,10,10,1,40,11.3,23.9,0,63.0,0.21,5,984
1,50,1,50,50,1,200,17.9,28.3,1,63.0,0.17,5,861
3,50,1,50,50,3,150,24.5,14.9,1,65.1,1.13,4,744
2,50,1,50,50,1,400,16.4,18.5,0,65.1,1.15,4,705
1,50,1,50,20,1,500,8.5,15.2,0,65.1,1.13,4,711
1,20,1,20,10,1,160,23.7,11.8,1,65.1,1.90,4,711
2,10,1,10,5,1,160,10.6,26.4,1,65.1,1.41,4,673
2,50,1,50,50,1,300,20.2,21.0,0,65.1,1.44,4,600
3,50,1,50,50,1,600,28.4,20.3,1,65.1,1.31,4,600
1,50,1,50,50,3,66.67,25.9,37.8,1,65.1,2.25,4,600
1,10,1,10,10,3,66.67,26.6,24.9,0,65.1,1.53,4,634
1,50,2,50,50,1,400,29.0,33.7,0,65.1,2.22,4,628
2,50,1,50,20,3,250,27.3,35.8,1,65.1,1.78,4,647
2,50,1,50,50,1,400,24.9,29.3,0,65.1,1.35,4,695
1,50,1,50,50,1,200,26.2,29.7,0,65.1,1.51,4,704
2,10,3,10,50,1,48,25.8,26.7,0,65.1,1.21,4,740
3,10,1,10,20,1,60,27.4,31.1,1,65.1,1.72,4,704
3,10,3,10,50,1,54,25.3,23.0,0,65.1,1.39,4,704
2,50,1,50,5,50,80,27.3,21.6,0,65.1,1.80,4,670
1,20,1,20,1,20,80,29.0,40.7,0,65.1,2.04,4,669
1,20,1,20,1,20,80,23.8,23.5,1,65.1,2.44,4,660
3,20,1,20,1,20,240,27.6,49.9,0,65.1,2.50,4,630
3,20,1,20,20,1,180,28.1,33.0,1,65.1,2.07,4,598
2,10,3,10,20,1,120,19.8,36.6,0,65.1,2.90,4,594
1,20,1,20,20,1,80,17.8,17.4,1,47.7,0.12,5,531
1,50,1,50,50,1,200,12.0,20.5,0,47.7,0.18,5,534
3,20,1,20,10,3,160,8.8,15.8,0,47.7,0.14,5,622
1,10,1,2,20,1,4,6.3,18.2,0,47.7,0.32,5,608
3,50,1,50,20,3,500,4.6,7.8,0,23.6,0.05,3,853
